,name,price,total sales/mil,release date,developer,genre,rating,user rating,age,platforms,number of players
1488,Baja: Edge of Control HD,16.31,0.03,"Sep 14, 2017",THQ Nordic,Racing/Simulation/Automobile,65.0,6.3,E,PS4,Up to 16
1489,Nevermind,None,,"Jan 11, 2017",Flying Mollusk,Action Adventure/Adventure/3D/Linear/First-Person,65.0,6.3,M,XOne,-
1490,Reus,None,,"Oct 11, 2016","BlitWorks, Soedesco",Strategy/General,65.0,-,-,XOne,No Online Multiplayer
1491,Rememoried,45.0,,"Aug 31, 2015",Vladimir Kudelka,Adventure/3D/First-Person,65.0,6.1,-,PC,No Online Multiplayer
1492,Futuridium EP Deluxe,None,,"Sep 30, 2014",MixedBag,Action/Shooter/Rail,65.0,6.7,E,PSV,-
1493,Blood of the Werewolf,36.27,,"Oct 28, 2013",Scientifically Proven,Action/Platformer/Platformer/2D/2D,65.0,7.4,T,PC,-
1494,Viking: Battle for Asgard,22.04,0.38,"Mar 25, 2008",Creative Assembly,Action/Action Adventure/General/General/Fantasy,65.0,7.3,M,PS3,No Online Multiplayer
1495,Dragon Ball Z: Shin Budokai - Another Road,None,0.1,"Mar 20, 2007",Dimps Corporation,Action/Fighting/Fighting/3D/3D,65.0,8.2,T,PSP,2
1496,Disney/Pixar Cars,8.37,,"Nov 16, 2006",Rainbow Studios,Driving/Racing/Mission-based/Arcade/Mission-based/Automobile,65.0,7.0,E,Wii,No Online Multiplayer
1497,Heroes of Annihilated Empires,20.6,,"Nov 16, 2006",GSC Game World,Strategy/Real-Time/Fantasy/General/Fantasy,65.0,7.9,T,PC,1-6
1498,The Sims 2,,1.38,"Dec  7, 2005",Maxis,Simulation/Miscellaneous/Virtual Life/Virtual/Virtual Life,65.0,7.3,T,PSP,No Online Multiplayer
1499,Tim Burton's The Nightmare Before Christmas: Oogie's Revenge,,,"Oct 10, 2005",Capcom,Action Adventure/Horror,65.0,7.9,E10+,Xbox,1 Player
1500,Animaniacs: The Great Edgar Hunt,,,"Sep 18, 2005",Warthog,Action/Platformer/3D,65.0,-,E,GameCube,24  Online
1501,RPG Maker II,,,"Oct 24, 2003",Kuusou Kagaku,Role-Playing/Console-style RPG,65.0,8.5,E,PS2,1 Player
1502,Dragon's Lair 3D,,,"Dec 22, 2002",Dragonstone,Action/Platformer/3D,65.0,6.8,T,GameCube,1 Player
1503,Tiger Woods PGA Tour 2001,,,"Nov  6, 2000",Headgate,Sports/Traditional/Individual/Golf/Sim/Sim,65.0,-,E,PC,1-4
1504,Chaos Legion,,,"Aug  6, 2003",Capcom,Action Adventure/Fantasy,65.0,7.9,T,PS2,1 Player
1505,Baja: Edge of Control,34.19,0.2,"Sep 22, 2008",2XL Games,Driving/Racing/Simulation/Rally / Offroad/Rally / Offroad/Automobile,65.0,6.9,E,X360,Up to 10
1506,Brave: The Search for Spirit Dancer,14.17,,"Apr  9, 2007",VIS Entertainment,Action/Platformer/3D,65.0,7.4,E10+,PS2,1 Player
1507,Rango,17.51,0.19,"Mar  1, 2011",Behaviour Interactive,Action Adventure/Historic/General/Historic,65.0,6.4,E10+,PS3,No Online Multiplayer
1508,F1 2015,7.35,0.68,"Jul 21, 2015",Codemasters,Racing/Simulation/Automobile,65.0,6.4,E,PS4,Up to 16
1509,Fallout 3 - Operation: Anchorage,3.08,0.0,"Jan 27, 2009",Bethesda Game Studios,Role-Playing/First-Person/First-Person/Western-Style,65.0,5.5,M,PC,-
1510,The Testament of Sherlock Holmes,30.61,0.24,"Sep 25, 2012",Frogwares,General/Adventure/General,65.0,7.3,M,PS3,No Online Multiplayer
1511,Jet Kave Adventure,None,,"Sep 17, 2019",7Levels,Action/Platformer/2D,65.0,6.2,E10+,NS,No Online Multiplayer
1512,Kane & Lynch: Dead Men,32.98,0.76,"Nov 13, 2007",Io Interactive,Action/Shooter/Shooter/Third-Person/Tactical/Modern/Modern,65.0,3.3,M,X360,8  Online
1513,Need for Speed,89.0,0.74,"Nov  3, 2015",Ghost Games,Racing/Simulation/Automobile,65.0,7.6,T,XOne,Up to 8
1514,Opoona,59.2,0.1,"Mar 25, 2008",ArtePiazza,Role-Playing/General/General/Japanese-Style,65.0,7.9,E10+,Wii,No Online Multiplayer
1515,Top Spin 3,5.43,0.14,"Jun 23, 2008","Pam Development, 2K Sports",Sports/Traditional/Individual/Tennis/Tennis,65.0,-,E,DS,No Online Multiplayer
1516,Blacksad: Under the Skin,21.38,,"Nov  5, 2019",Pendulo Studios,Adventure/3D/First-Person,65.0,7.7,M,PC,No Online Multiplayer
1517,The Crow's Eye,60.0,,"Mar 20, 2017",3D2 Entertainment,Action Adventure/Horror/Survival,65.0,7.0,-,PC,-
1518,Divekick,None,,"Aug 20, 2013",Iron Galaxy Studios,Action/Fighting/Fighting/2D/2D,65.0,6.9,T,PS3,-
